City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed,lng
88,karoi,10,ZW,1567121023,48,-16.82,66.4,12.93,29.68
89,nargana,100,PA,1567121023,85,9.44,81.16,7.38,-78.59
90,voskevan,75,AM,1567121023,68,41.12,69.8,13.87,45.07
91,jiuquan,71,CN,1567121023,24,39.73,69.46,1.32,98.49
92,bahia de caraquez,0,EC,1567121023,73,-0.6,75.2,9.17,-80.42
93,waitati,61,NZ,1567121023,47,-45.75,53.01,11.99,170.57
94,bilibino,100,RU,1567121024,96,68.06,34.54,4.09,166.44
95,severo-kurilsk,53,RU,1567120433,94,50.68,50.38,7.7,156.12
96,sitka,21,US,1567121024,39,37.17,97.0,11.99,-99.65
97,olinda,20,AU,1567121024,87,-37.84,48.0,5.82,145.39
98,opuwo,3,NA,1567121024,73,-18.06,51.46,0.56,13.84
99,khuzhir,8,RU,1567121024,68,53.19,57.58,1.01,107.35
100,gidole,36,ET,1567121024,63,5.65,74.14,4.09,37.37
101,portobelo,75,PA,1567121025,83,9.55,82.4,4.7,-79.65
102,hokitika,75,NZ,1567121025,76,-42.72,47.86,5.95,170.96
103,ginda,19,IN,1567121025,92,30.69,59.2,2.77,78.49
104,sur,67,OM,1567121025,51,22.57,81.88,0.83,59.53
105,nanga eboko,97,CM,1567121025,99,4.68,68.74,3.94,12.37
106,bagdarin,35,RU,1567121025,61,54.44,58.84,0.74,113.59
107,mujiayingzi,0,CN,1567121025,64,42.12,58.84,10.16,118.78
108,katsuura,75,JP,1567120434,94,33.93,77.0,3.36,134.5
109,qaqortoq,0,GL,1567121026,66,60.72,50.0,9.17,-46.03
110,kilindoni,7,TZ,1567121026,80,-7.91,77.02,9.69,39.67
111,pacific grove,1,US,1567121026,50,36.62,84.99,12.75,-121.92
112,hilo,20,US,1567120238,58,19.71,87.8,10.29,-155.08
113,albany,20,US,1567120892,49,42.65,73.99,8.05,-73.75
114,punta arenas,40,CL,1567121026,80,-53.16,41.0,20.8,-70.91
115,aquiraz,20,BR,1567121026,74,-3.9,79.0,10.29,-38.39
116,grand gaube,75,MU,1567121027,83,-20.01,73.0,5.82,57.66
117,akola,97,IN,1567121027,86,20.71,76.3,6.22,77.0
118,loandjili,40,CG,1567121027,94,-4.77,73.4,3.36,11.87
119,tromso,0,NO,1567121027,93,69.65,59.0,31.09,18.96
120,valdivia,90,CL,1567121027,100,-39.81,48.2,5.82,-73.25
